0,1,2
Being For the Benefit of Mr. Kite,Lennon,Lennon
Lovely Rita,McCartney,McCartney
Lucy in the Sky with Diamonds,Lennon,Lennon
Getting Better,McCartney,McCartney
Within You Without You,Harrison,Harrison
She´s Leaving Home,McCartney,McCartney
With a Little Help From My Friends,McCartney,Starr
Sgt. Pepper´s Lonely Hearts Club Band (Reprise),McCartney,"Lennon/McCartney/ 
Harrison/Starr"
Magical Mystery Tour,McCartney,McCartney
Your Mother Should Know,McCartney,McCartney
Blue Jay Way,Harrison,Harrison
Flying,"Harrison/Lennon/ 
McCartney/Starkey","Harrison/Lennon/ 
McCartney/Starr"
The Fool on the Hill,McCartney,McCartney
I Am the Walrus,Lennon,Lennon
Revolution 1,Lennon,Lennon
Don´t Pass Me By,Starkey,Starr
Revolution 9,Lennon,"""Instrumental"""
Blackbird,McCartney,McCartney
Everybody´s Got Something to Hide Except Me and My Monkey,Lennon,Lennon
Good Night,Lennon,Starr
"Ob-la-di, Ob-la-da",McCartney,McCartney
Cry Baby Cry,Lennon,Lennon
Helter Skelter,McCartney,McCartney
Sexy Sadie,Lennon,Lennon
While My Guitar Gently Weeps,Harrison,Harrison
Mother Nature´s Son,McCartney,McCartney
Yer Blues,Lennon,Lennon
Rocky Raccoon,McCartney,McCartney
Wild Honey Pie,McCartney,McCartney
Back in the USSR,McCartney,McCartney
Dear Prudence,Lennon,Lennon
Glass Onion,Lennon,Lennon
I Will,McCartney,McCartney
Birthday,McCartney,Lennon/McCartney
Piggies,Harrison,Harrison
Happiness is a Warm Gun,Lennon,Lennon
Honey Pie,McCartney,McCartney
Savoy Truffle,Harrison,Harrison
Martha My Dear,McCartney,McCartney
Long Long Long,Harrison,Harrison
I´m So Tired,Lennon,Lennon
The Continuing Story of Bungalow Bill,Lennon,Lennon
Why Don´t We Do It in the Road?,McCartney,McCartney
Julia,Lennon,Lennon
Yellow Submarine,McCartney,Starr
Only a Nothern Song,Harrison,Harrison
All Together Now,McCartney,McCartney
It´s All Too Much,Harrison,Harrison
All You Need is Love,Lennon,Lennon
Hey Bulldog,Lennon/McCartney,Lennon
I Want You (She´s So Heavy),Lennon,Lennon
Something,Harrison,Harrison
Oh! Darling,McCartney,McCartney
Octopus´s Garden,Starkey,Starr
You Never Give Me Your Money,McCartney,McCartney
Her Majesty,McCartney,McCartney
Golden Slumbers,McCartney,McCartney
Carry That Weight,McCartney,McCartney
Here Comes the Sun,Harrison,Harrison
Maxwell´s Silver Hammer,McCartney,McCartney
Come Together,Lennon,Lennon
The End,McCartney,McCartney
Sun King,Lennon,Lennon
Mean Mr Mustard,Lennon,Lennon
Polythene Pam,Lennon,Lennon
She Came in Through the Bathroom Window,McCartney,McCartney
Because,Lennon,Lennon/McCartney/Harrison
Across the Universe,Lennon,Lennon
Dig a Ponny,Lennon,Lennon
I´ve Got a Feeling,Lennon/McCartney,Lennon/McCartney
Get Back,McCartney,McCartney
Two of Us,McCartney,Lennon/McCartney
Maggie Mae,Trad. arr.,Lennon/McCartney
Dig It,Lennon,Lennon
For You Blue,Harrison,Harrison
Let It Be,McCartney,McCartney
The Long and Winding Road,McCartney,McCartney
One After 909,Lennon,Lennon/McCartney
I Me Mine,Harrison,Harrison
"From Me to You, 1963",Lennon/McCartney,Lennon/McCartney
"Thank You Girl, 1963",Lennon/McCartney,Lennon
"She Loves You, 1963",Lennon/McCartney,Lennon/McCartney
"I´ll Get You, 1963",Lennon/McCartney,Lennon/McCartney
"I Want to Hold Your Hand, 1963 ",Lennon/McCartney,Lennon/McCartney
"This Boy, 1963",Lennon,Lennon/McCartney/Harrison
"She´s a Woman, 1964",McCartney,McCartney
"I Feel Fine, 1964",Lennon,Lennon
"Yes it is, 1965",Lennon,Lennon
"I´m Down, 1965",McCartney,McCartney
"Day Tripper, 1965 ",Lennon,Lennon/McCartney
"We Can Work It Out, 1965",Lennon/McCartney,McCartney
"Paperback Writer, 1966",McCartney,McCartney
"Rain, 1966",Lennon,Lennon
"Strawberry Fields Forever, 1967",Lennon,Lennon
"Penny Lane, 1967",McCartney,McCartney
"Baby, You´re a Rich Man, 1967",Lennon/McCartney,Lennon/McCartney
"Hello, Goodbye, 1967",McCartney,McCartney
"The Inner Light, 1968",Harrison,Harrison
"Lady Madonna, 1968",McCartney,McCartney
"Hey Jude, 1968",McCartney,McCartney
"Don´t Let Me Down, 1969",Lennon,Lennon
"The Ballad of John and Yoko, 1969",Lennon,Lennon
"Old Brown Shoe, 1969",Harrison,Harrison
"You Know My Name (Look up the Number), 1970 ",Lennon,Lennon/McCartney/Starr
